Date,España,Italia,México
2020-01-22 00:00:00+00:00,0,0,0
2020-01-23 00:00:00+00:00,0,0,0
2020-01-24 00:00:00+00:00,0,0,0
2020-01-25 00:00:00+00:00,0,0,0
2020-01-26 00:00:00+00:00,0,0,0
2020-01-27 00:00:00+00:00,0,0,0
2020-01-28 00:00:00+00:00,0,0,0
2020-01-29 00:00:00+00:00,0,0,0
2020-01-30 00:00:00+00:00,0,0,0
2020-01-31 00:00:00+00:00,0,2,0
2020-02-01 00:00:00+00:00,1,2,0
2020-02-02 00:00:00+00:00,1,2,0
2020-02-03 00:00:00+00:00,1,2,0
2020-02-04 00:00:00+00:00,1,2,0
2020-02-05 00:00:00+00:00,1,2,0
2020-02-06 00:00:00+00:00,1,2,0
2020-02-07 00:00:00+00:00,1,3,0
2020-02-08 00:00:00+00:00,1,3,0
2020-02-09 00:00:00+00:00,2,3,0
2020-02-10 00:00:00+00:00,2,3,0
2020-02-11 00:00:00+00:00,2,3,0
2020-02-12 00:00:00+00:00,2,3,0
2020-02-13 00:00:00+00:00,2,3,0
2020-02-14 00:00:00+00:00,2,3,0
2020-02-15 00:00:00+00:00,2,3,0
2020-02-16 00:00:00+00:00,2,3,0
2020-02-17 00:00:00+00:00,2,3,0
2020-02-18 00:00:00+00:00,2,3,0
2020-02-19 00:00:00+00:00,2,3,0
2020-02-20 00:00:00+00:00,2,3,0
2020-02-21 00:00:00+00:00,2,20,0
2020-02-22 00:00:00+00:00,2,62,0
2020-02-23 00:00:00+00:00,2,155,0
2020-02-24 00:00:00+00:00,2,229,0
2020-02-25 00:00:00+00:00,6,322,0
2020-02-26 00:00:00+00:00,13,453,0
2020-02-27 00:00:00+00:00,15,655,0
2020-02-28 00:00:00+00:00,32,888,1
2020-02-29 00:00:00+00:00,45,1128,4
2020-03-01 00:00:00+00:00,84,1694,5
2020-03-02 00:00:00+00:00,120,2036,5
2020-03-03 00:00:00+00:00,165,2502,5
2020-03-04 00:00:00+00:00,222,3089,5
2020-03-05 00:00:00+00:00,259,3858,5
2020-03-06 00:00:00+00:00,400,4636,6
2020-03-07 00:00:00+00:00,500,5883,6
2020-03-08 00:00:00+00:00,673,7375,7
2020-03-09 00:00:00+00:00,1073,9172,7
2020-03-10 00:00:00+00:00,1695,10149,7
2020-03-11 00:00:00+00:00,2277,12462,8
2020-03-12 00:00:00+00:00,2277,15113,12
2020-03-13 00:00:00+00:00,5232,17660,26
2020-03-14 00:00:00+00:00,6391,21157,41
2020-03-15 00:00:00+00:00,7798,24747,53
2020-03-16 00:00:00+00:00,9942,27980,82
2020-03-17 00:00:00+00:00,11748,31506,93
2020-03-18 00:00:00+00:00,13910,35713,118
2020-03-19 00:00:00+00:00,17963,41035,164
2020-03-20 00:00:00+00:00,20410,47021,203
2020-03-21 00:00:00+00:00,25374,53578,251
2020-03-22 00:00:00+00:00,28768,59138,316
2020-03-23 00:00:00+00:00,35136,63927,367
2020-03-24 00:00:00+00:00,39885,69176,405
